	Unnamed							
Time	ax	ay	az	qx	qy	qz	qw
1,472	0,057	0,370	-1,714	0,416	-0,412	0,801	0,134
1,488	0,150	0,503	-1,845	0,396	-0,426	0,806	0,125
1,504	0,268	0,568	-1,933	0,383	-0,437	0,808	0,117
1,520	0,420	0,549	-1,964	0,377	-0,445	0,807	0,111
1,536	0,619	0,434	-1,943	0,380	-0,449	0,803	0,106
1,552	0,799	0,270	-1,910	0,390	-0,450	0,797	0,104
1,568	0,934	0,082	-1,908	0,407	-0,449	0,789	0,105
1,584	0,970	-0,095	-1,958	0,428	-0,446	0,778	0,110
1,600	0,871	-0,242	-2,053	0,452	-0,442	0,764	0,119
1,616	0,631	-0,342	-2,162	0,478	-0,437	0,749	0,131
1,632	0,272	-0,393	-2,255	0,505	-0,431	0,731	0,148
1,648	-0,164	-0,397	-2,304	0,533	-0,425	0,711	0,169
1,664	-0,631	-0,368	-2,300	0,560	-0,417	0,689	0,192
1,680	-1,089	-0,329	-2,271	0,587	-0,408	0,663	0,218
1,696	-1,985	-0,352	-2,279	0,643	-0,386	0,602	0,272
1,712	-2,457	-0,465	-2,255	0,670	-0,370	0,567	0,302
1,728	-2,928	-0,656	-2,065	0,697	-0,347	0,531	0,333
1,744	-3,305	-0,888	-1,570	0,720	-0,315	0,495	0,367
1,760	-3,449	-1,047	-0,696	0,739	-0,272	0,461	0,403
1,776	-3,228	-1,009	0,481	0,754	-0,218	0,431	0,438
1,792	-2,590	-0,737	1,734	0,765	-0,156	0,401	0,472
1,808	-1,588	-0,303	2,795	0,772	-0,089	0,374	0,501
1,824	-0,353	0,161	3,477	0,777	-0,022	0,346	0,524
1,840	0,936	0,554	3,692	0,780	0,040	0,319	0,541
1,856	2,093	0,835	3,472	0,781	0,093	0,294	0,551
1,872	2,971	1,001	2,940	0,783	0,132	0,270	0,557
1,888	3,566	1,028	2,175	0,783	0,159	0,246	0,561
1,904	3,829	0,904	1,509	0,783	0,166	0,228	0,565
1,920	3,685	0,754	1,107	0,782	0,157	0,214	0,571
1,936	2,885	0,611	1,117	0,780	0,134	0,203	0,578
1,952	1,620	0,488	1,438	0,777	0,103	0,195	0,587
1,968	0,258	0,387	1,879	0,776	0,069	0,190	0,595
1,984	-0,864	0,317	2,284	0,776	0,041	0,188	0,599
2,000	-1,564	0,281	2,508	0,779	0,023	0,189	0,597
2,016	-1,789	0,284	2,479	0,784	0,015	0,192	0,590
2,032	-1,594	0,325	2,205	0,793	0,018	0,196	0,577
2,048	-1,104	0,377	1,753	0,805	0,029	0,201	0,557
2,064	-0,463	0,392	1,238	0,819	0,042	0,207	0,534
2,080	0,179	0,319	0,761	0,834	0,055	0,212	0,507
2,096	0,711	0,149	0,376	0,849	0,065	0,218	0,478
2,112	1,070	-0,082	0,100	0,863	0,071	0,222	0,449
2,128	1,266	-0,317	-0,056	0,876	0,072	0,228	0,421
2,144	1,338	-0,496	-0,109	0,887	0,069	0,237	0,395
2,160	1,319	-0,579	-0,091	0,894	0,063	0,249	0,370
2,176	1,248	-0,560	-0,013	0,898	0,054	0,268	0,348
2,192	1,152	-0,468	0,132	0,898	0,042	0,292	0,328
2,208	1,039	-0,350	0,350	0,893	0,027	0,322	0,311
2,224	0,901	-0,258	0,618	0,885	0,010	0,357	0,295
2,240	0,722	-0,218	0,889	0,873	-0,012	0,394	0,282
2,256	0,492	-0,237	1,112	0,859	-0,038	0,430	0,271
2,272	0,188	-0,300	1,239	0,840	-0,071	0,469	0,261
2,288	-0,106	-0,370	1,228	0,820	-0,104	0,502	0,253
2,304	-0,389	-0,437	1,116	0,798	-0,139	0,534	0,245
2,320	-0,640	-0,486	0,921	0,772	-0,176	0,563	0,237
2,336	-0,850	-0,511	0,656	0,745	-0,213	0,591	0,227
2,352	-1,008	-0,510	0,328	0,715	-0,251	0,617	0,216
2,368	-1,089	-0,482	-0,044	0,683	-0,288	0,641	0,204
2,384	-1,089	-0,434	-0,418	0,650	-0,324	0,662	0,189
2,400	-1,019	-0,367	-0,755	0,615	-0,358	0,683	0,173
2,416	-0,898	-0,259	-1,045	0,578	-0,389	0,702	0,156
2,432	-0,769	-0,097	-1,288	0,540	-0,418	0,719	0,139
2,448	-0,667	0,112	-1,488	0,501	-0,443	0,735	0,123
2,464	-0,596	0,349	-1,659	0,464	-0,464	0,749	0,109
2,480	-0,529	0,579	-1,801	0,430	-0,482	0,761	0,095
2,496	-0,414	0,754	-1,903	0,401	-0,496	0,770	0,082
2,512	-0,206	0,831	-1,958	0,379	-0,506	0,776	0,068
2,528	0,097	0,795	-1,959	0,364	-0,512	0,779	0,055
2,544	0,463	0,667	-1,911	0,357	-0,515	0,781	0,043
2,560	0,835	0,487	-1,835	0,357	-0,515	0,781	0,033
2,576	1,165	0,295	-1,773	0,363	-0,513	0,779	0,026
2,592	1,401	0,122	-1,765	0,374	-0,508	0,776	0,024
2,608	1,492	-0,013	-1,818	0,389	-0,503	0,771	0,027
2,624	1,408	-0,105	-1,909	0,406	-0,496	0,766	0,036
2,640	1,115	-0,166	-2,027	0,428	-0,489	0,758	0,053
2,656	0,712	-0,200	-2,133	0,449	-0,481	0,748	0,073
2,672	0,223	-0,228	-2,228	0,471	-0,473	0,737	0,098
2,688	-0,302	-0,256	-2,294	0,495	-0,465	0,722	0,126
2,704	-0,811	-0,283	-2,314	0,521	-0,456	0,703	0,156
2,720	-1,263	-0,303	-2,297	0,550	-0,445	0,681	0,187
2,736	-1,654	-0,323	-2,259	0,580	-0,433	0,654	0,218
2,752	-2,007	-0,359	-2,196	0,611	-0,418	0,623	0,250
2,768	-2,356	-0,426	-2,067	0,642	-0,400	0,589	0,282
2,784	-2,710	-0,527	-1,797	0,672	-0,376	0,553	0,315
2,800	-3,032	-0,640	-1,299	0,700	-0,345	0,518	0,349
2,816	-3,216	-0,703	-0,525	0,724	-0,307	0,484	0,383
2,832	-3,123	-0,632	0,483	0,744	-0,260	0,452	0,416
2,848	-2,648	-0,393	1,589	0,761	-0,206	0,422	0,446
2,864	-1,795	-0,059	2,579	0,774	-0,148	0,394	0,472
2,880	-0,679	0,240	3,247	0,786	-0,090	0,366	0,491
2,896	0,519	0,414	3,486	0,797	-0,037	0,337	0,504
2,912	1,610	0,441	3,308	0,807	0,009	0,307	0,512
2,928	2,445	0,354	2,810	0,815	0,044	0,279	0,516
2,944	2,969	0,197	2,143	0,821	0,067	0,252	0,518
2,960	3,248	0,017	1,483	0,824	0,080	0,230	0,521
2,976	3,379	-0,084	0,996	0,824	0,082	0,213	0,526
2,992	3,085	-0,071	0,895	0,820	0,075	0,201	0,535
3,008	2,090	0,026	1,151	0,813	0,057	0,191	0,548
3,024	0,825	0,159	1,547	0,805	0,037	0,183	0,561
3,040	-0,368	0,340	1,959	0,799	0,019	0,177	0,573
3,056	-1,184	0,543	2,256	0,795	0,006	0,174	0,581
3,072	-1,498	0,724	2,375	0,794	0,002	0,175	0,582
3,088	-1,346	0,840	2,298	0,798	0,007	0,178	0,575
3,104	-0,870	0,870	2,039	0,806	0,018	0,184	0,561
3,120	-0,261	0,802	1,654	0,818	0,032	0,191	0,540
3,136	0,308	0,638	1,224	0,833	0,045	0,197	0,513
3,152	0,731	0,398	0,820	0,849	0,055	0,202	0,483
3,168	0,975	0,124	0,486	0,866	0,058	0,207	0,452
3,184	1,061	-0,137	0,241	0,881	0,057	0,213	0,420
3,200	1,044	-0,348	0,088	0,894	0,052	0,221	0,389
3,216	0,981	-0,480	0,022	0,904	0,043	0,234	0,359
3,232	0,915	-0,530	0,030	0,910	0,032	0,252	0,331
3,248	0,869	-0,518	0,096	0,912	0,021	0,276	0,305
3,264	0,838	-0,474	0,203	0,910	0,008	0,305	0,282
3,280	0,810	-0,425	0,345	0,905	-0,007	0,337	0,262
3,296	0,768	-0,392	0,527	0,895	-0,023	0,372	0,246
3,312	0,688	-0,382	0,745	0,881	-0,043	0,408	0,235
3,328	0,539	-0,399	0,956	0,864	-0,066	0,445	0,226
3,344	0,309	-0,435	1,110	0,843	-0,093	0,480	0,221
3,360	0,016	-0,475	1,168	0,820	-0,125	0,514	0,216
3,376	-0,295	-0,504	1,107	0,795	-0,160	0,546	0,212
3,392	-0,608	-0,507	0,894	0,763	-0,201	0,578	0,206
3,408	-0,827	-0,483	0,590	0,734	-0,239	0,604	0,199
3,424	-0,972	-0,439	0,226	0,701	-0,278	0,629	0,190
3,440	-1,050	-0,383	-0,153	0,668	-0,316	0,651	0,178
3,456	-1,066	-0,313	-0,526	0,632	-0,352	0,672	0,165
3,472	-1,029	-0,221	-0,852	0,595	-0,385	0,691	0,151
3,488	-0,966	-0,101	-1,108	0,558	-0,415	0,709	0,135
3,504	-0,908	0,035	-1,287	0,521	-0,441	0,724	0,119
3,520	-0,854	0,181	-1,415	0,485	-0,464	0,737	0,103
3,536	-0,761	0,333	-1,538	0,452	-0,484	0,748	0,086
3,552	-0,584	0,484	-1,675	0,424	-0,501	0,755	0,067
3,568	-0,299	0,607	-1,814	0,400	-0,515	0,760	0,048
3,584	0,079	0,676	-1,927	0,383	-0,525	0,762	0,029
3,600	0,507	0,684	-1,987	0,372	-0,532	0,764	0,012
3,616	0,918	0,639	-1,988	0,366	-0,535	0,764	-0,002
3,632	1,251	0,551	-1,949	0,365	-0,535	0,764	-0,011
3,648	1,465	0,437	-1,898	0,369	-0,531	0,764	-0,015
3,664	1,488	0,176	-1,842	0,388	-0,518	0,762	-0,002
3,680	1,290	0,046	-1,845	0,402	-0,509	0,761	0,013
3,696	0,970	-0,072	-1,864	0,417	-0,499	0,758	0,033
3,712	0,563	-0,177	-1,905	0,436	-0,489	0,752	0,057
3,728	0,111	-0,272	-1,973	0,457	-0,479	0,744	0,084
3,744	-0,389	-0,369	-2,067	0,484	-0,467	0,730	0,115
3,760	-0,389	-0,369	-2,067	0,484	-0,467	0,730	0,115
3,776	-0,803	-0,433	-2,142	0,511	-0,457	0,713	0,145
3,792	-1,458	-0,461	-2,186	0,571	-0,434	0,665	0,205
3,808	-1,739	-0,426	-2,153	0,602	-0,420	0,636	0,236
3,824	-1,739	-0,426	-2,153	0,602	-0,420	0,636	0,236
3,840	-2,031	-0,385	-2,057	0,632	-0,404	0,604	0,268
3,856	-2,642	-0,408	-1,542	0,688	-0,356	0,537	0,333
3,872	-2,893	-0,502	-1,042	0,712	-0,322	0,505	0,365
3,888	-2,999	-0,571	-0,295	0,733	-0,281	0,475	0,397
3,904	-2,829	-0,484	0,710	0,750	-0,231	0,448	0,426
3,920	-2,295	-0,192	1,835	0,765	-0,175	0,424	0,451
3,936	-1,422	0,196	2,826	0,778	-0,116	0,399	0,471
3,952	-0,338	0,492	3,452	0,791	-0,060	0,372	0,483
3,968	0,759	0,573	3,599	0,804	-0,010	0,342	0,489
3,984	1,693	0,445	3,298	0,818	0,030	0,309	0,490
4,000	2,369	0,188	2,693	0,830	0,060	0,275	0,489
4,016	2,785	-0,113	1,969	0,840	0,078	0,243	0,488
4,032	3,023	-0,397	1,282	0,845	0,086	0,215	0,490
4,048	3,061	-0,531	0,809	0,845	0,086	0,193	0,497
4,064	2,613	-0,516	0,780	0,841	0,078	0,177	0,509
4,080	1,698	-0,355	1,131	0,832	0,066	0,167	0,525
4,096	0,541	-0,090	1,685	0,822	0,052	0,162	0,544
4,112	-0,626	0,241	2,318	0,810	0,041	0,159	0,563
4,128	-1,320	0,525	2,703	0,802	0,038	0,160	0,575
4,144	-1,552	0,762	2,830	0,798	0,045	0,161	0,580
4,160	-1,330	0,939	2,704	0,798	0,059	0,164	0,576
4,176	-0,792	1,037	2,345	0,804	0,080	0,168	0,562
4,192	-0,122	1,033	1,827	0,815	0,102	0,171	0,541
4,208	0,511	0,915	1,272	0,830	0,121	0,175	0,513
4,224	0,994	0,697	0,776	0,847	0,136	0,177	0,479
4,240	1,272	0,407	0,387	0,866	0,144	0,180	0,443
4,256	1,358	0,082	0,122	0,884	0,145	0,184	0,404
4,272	1,315	-0,229	-0,025	0,901	0,140	0,192	0,365
4,288	1,203	-0,468	-0,099	0,914	0,132	0,206	0,325
4,304	1,069	-0,598	-0,138	0,924	0,121	0,228	0,286
4,320	0,948	-0,629	-0,150	0,928	0,107	0,257	0,249
4,336	0,856	-0,603	-0,127	0,927	0,092	0,293	0,216
4,352	0,789	-0,559	-0,072	0,920	0,074	0,334	0,189
4,368	0,736	-0,519	0,023	0,908	0,054	0,379	0,169
4,384	0,681	-0,498	0,176	0,890	0,031	0,426	0,156
